defect,repair,inservice,cartype,manufacturer
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
LEAKING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,RESET,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
DIRTY,CLEANED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
DIRTY,CLEANED,30,R62A,Bombardier
DIRTY,CLEANED,30,R62A,Bombardier
LEAKING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
LEAKING,REPAIRED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,RESET,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,RESET,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
LEAKING,REPAIRED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
LEAKING,REPAIRED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,RESET,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,RESET,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPAIRED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPAIRED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
LEAKING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPAIRED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,RESET,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
OTHERS,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
LEAKING,REPAIRED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
DIRTY,CLEANED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
DIRTY,CLEANED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
DIRTY,CLEANED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,CLEANED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,CLEANED,30,R62A,Bombardier
DIRTY,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
H/W DAMAGED,CLEANED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
H/W DAMAGED,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
DIRTY,CLEANED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
LEAKING,REPLACED,30,R62A,Bombardier
LEAKING,REPAIRED,30,R62A,Bombardier
DIRTY,CLEANED,30,R62A,Bombardier
OTHERS,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPLACED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
MALFUNCTIONING,REPAIRED,30,R62A,Bombardier
